cartodb_id,the_geom,year,value,domain,data_item,county,state
3,,2012,"183,764",TOTAL,FARM OPERATIONS - ACRES OPERATED,BOURBON,KENTUCKY
4,,2012,"101,549",TOTAL,FARM OPERATIONS - ACRES OPERATED,BOYLE,KENTUCKY
5,,2012,"137,397",TOTAL,FARM OPERATIONS - ACRES OPERATED,CLARK,KENTUCKY
6,,2012,"114,857",TOTAL,FARM OPERATIONS - ACRES OPERATED,FAYETTE,KENTUCKY
7,,2012,"183,198",TOTAL,FARM OPERATIONS - ACRES OPERATED,FLEMING,KENTUCKY
8,,2012,"78,536",TOTAL,FARM OPERATIONS - ACRES OPERATED,FRANKLIN,KENTUCKY
9,,2012,"127,235",TOTAL,FARM OPERATIONS - ACRES OPERATED,GARRARD,KENTUCKY
10,,2012,"164,457",TOTAL,FARM OPERATIONS - ACRES OPERATED,HARRISON,KENTUCKY
11,,2012,"83,644",TOTAL,FARM OPERATIONS - ACRES OPERATED,JESSAMINE,KENTUCKY
12,,2012,"180,755",TOTAL,FARM OPERATIONS - ACRES OPERATED,LINCOLN,KENTUCKY
13,,2012,"232,801",TOTAL,FARM OPERATIONS - ACRES OPERATED,MADISON,KENTUCKY
14,,2012,"126,722",TOTAL,FARM OPERATIONS - ACRES OPERATED,MASON,KENTUCKY
15,,2012,"144,250",TOTAL,FARM OPERATIONS - ACRES OPERATED,MERCER,KENTUCKY
16,,2012,"99,436",TOTAL,FARM OPERATIONS - ACRES OPERATED,MONTGOMERY,KENTUCKY
17,,2012,"102,192",TOTAL,FARM OPERATIONS - ACRES OPERATED,NICHOLAS,KENTUCKY
72,,2012,"118,797",TOTAL,FARM OPERATIONS - ACRES OPERATED,MORGAN,KENTUCKY
112,,2012,"98,620",TOTAL,FARM OPERATIONS - ACRES OPERATED,CARLISLE,KENTUCKY
153,,2007,"96,641",TOTAL,FARM OPERATIONS - ACRES OPERATED,EDMONSON,KENTUCKY
233,,2007,"91,414",TOTAL,FARM OPERATIONS - ACRES OPERATED,FULTON,KENTUCKY
275,,2002,"134,903",TOTAL,FARM OPERATIONS - ACRES OPERATED,GREEN,KENTUCKY
355,,2002,"125,273",TOTAL,FARM OPERATIONS - ACRES OPERATED,HICKMAN,KENTUCKY
18,,2012,"38,823",TOTAL,FARM OPERATIONS - ACRES OPERATED,ROBERTSON,KENTUCKY
19,,2012,"127,479",TOTAL,FARM OPERATIONS - ACRES OPERATED,SCOTT,KENTUCKY
20,,2012,"199,341",TOTAL,FARM OPERATIONS - ACRES OPERATED,SHELBY,KENTUCKY
21,,2012,"69,125",TOTAL,FARM OPERATIONS - ACRES OPERATED,SPENCER,KENTUCKY
22,,2012,"140,948",TOTAL,FARM OPERATIONS - ACRES OPERATED,WASHINGTON,KENTUCKY
23,,2012,"111,917",TOTAL,FARM OPERATIONS - ACRES OPERATED,WOODFORD,KENTUCKY
24,,2012,"170,177",TOTAL,FARM OPERATIONS - ACRES OPERATED,ADAIR,KENTUCKY
25,,2012,"145,691",TOTAL,FARM OPERATIONS - ACRES OPERATED,ALLEN,KENTUCKY
26,,2012,"248,663",TOTAL,FARM OPERATIONS - ACRES OPERATED,BARREN,KENTUCKY
27,,2012,"259,774",TOTAL,FARM OPERATIONS - ACRES OPERATED,BRECKINRIDGE,KENTUCKY
28,,2012,"46,149",TOTAL,FARM OPERATIONS - ACRES OPERATED,BULLITT,KENTUCKY
31,,2012,"74,050",TOTAL,FARM OPERATIONS - ACRES OPERATED,CLINTON,KENTUCKY
1,,2012,81023,TOTAL,FARM OPERATIONS - ACRES OPERATED,ANDERSON,KENTUCKY
32,,2012,"65,445",TOTAL,FARM OPERATIONS - ACRES OPERATED,CUMBERLAND,KENTUCKY
33,,2012,"84,989",TOTAL,FARM OPERATIONS - ACRES OPERATED,EDMONSON,KENTUCKY
